Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
ремень женский,694 256,,,,(ID) 51 - Ремень Женский,621,621,621,621,621,
ваза для цветов,693 944,,,,(ID) 223 - Ваза Для Цветов,106,106,106,106,106,
кеды,690 647,,,,(ID) 104 - Кеды,535,535,535,535,535,
гель для душа,688 055,,,,(ID) 363 - Гель,1502,1502,1502,1502,1502,
футболка женская оверсайз,685 064,,,,(ID) 192 - Футболка,459,459,459,459,459,
тинт для губ,679 499,,,,(ID) 1918 - Тинт Для Губ,237,237,237,237,237,
штаны,678 846,,,,(ID) 11 - Брюки,1602,1602,1602,1602,1602,
кольцо,674 984,,,,(ID) 54 - Ювелирное кольцо,1909,1909,1909,1909,1909,
штаны женские,674 953,,,,(ID) 11 - Штаны Женские,1431,1431,1431,1431,1431,
сандалии женские,674 365,,,,(ID) 103 - Сандалии,111,111,111,111,111,
косуха женская,673 219,,,,(ID) 2110 - Косуха,1311,1311,1311,1311,1311,
гель лак,670 556,,,,(ID) 721 - Гель-лак,475,475,475,475,475,
наклейки,667 387,,,,(ID) 4143 - Наклейки для творчества,191,191,191,191,191,
бомбер,663 929,,,,(ID) 1635 - Бомбер,924,924,924,924,924,
чехол на iphone 12,663 398,,,,(ID) 390 - Чехол для телефона,833,833,833,833,833,
lime,657 178
перцовый баллончик,656 921,,,,(ID) 1397 - Держатель для баллончиков,652,652,652,652,652,
кошелек женский,655 512,,,,(ID) 52 - Кошелек Женский,873,873,873,873,873,
крем для лица,647 629,,,,(ID) 357 - Крем,6726,6726,6726,6726,6726,
купальник женский раздельный,645 944,,,,(ID) 89 - Раздельный купальник,731,731,731,731,731,
обложка на паспорт,638 948,,,,(ID) 342 - Обложка,651,651,651,651,651,
кепка женская,631 560,,,,(ID) 84 - Бейсболка,497,497,497,497,497,
джемпер женский,631 210,,,,(ID) 163 - Свитер,462,462,462,462,462,
пижама женская с шортами,630 229,,,,(ID) 162 - Пижама,2080,2080,2080,2080,2080,
вейп,618 644
кроп топ,611 865,,,,(ID) 185 - Топ,605,605,605,605,605,
карандаш для губ,607 885,,,,(ID) 350 - Косметический карандаш,91,91,91,91,91,
кофта,606 897,,,,(ID) 161 - Кофта,1000,1000,1000,1000,1000,
crocs,605 316
сарафан женский летний,605 284,,,,(ID) 70 - Сарафан,681,681,681,681,681,
корсет,603 330,,,,(ID) 74 - Корсет,700,700,700,700,700,
велосипедки,596 838,,,,(ID) 3835 - Велосипедки,691,691,691,691,691,
органайзер для косметики,593 552,,,,(ID) 3734 - Органайзер для косметики,601,601,601,601,601,
pull&bear,590 960
беспроводные наушники,588 632,,,,(ID) 593 - Наушники,1720,1720,1720,1720,1720,
лампа для ногтей,585 104,,,,(ID) 805 - Лампа Для Ногтей,1087,1087,1087,1087,1087,
помада,582 384,,,,(ID) 344 - Помада,115,115,115,115,115,
спортивные штаны,580 875
iphone 14,579 339
вибратор,576 363,,,,(ID) 5067 - Вибратор,1502,1502,1502,1502,1502,
патчи для глаз,575 646,,,,(ID) 3356 - Патчи Для Глаз,959,959,959,959,959,
зипка,574 791,,,,(ID) 1724 - Худи,382,382,382,382,382,
толстовка женская,574 507,,,,(ID) 233 - Толстовка,206,206,206,206,206,
верхняя одежда,572 242,,,,(ID) 2110 - Косуха,901,901,901,901,901,
кисти для макияжа,568 142,,,,(ID) 437 - Кисти Для Макияжа,633,633,633,633,633,
гель для бровей,566 222,,,,(ID) 4837 - Гель для бровей,512,512,512,512,512,
духи,565 306,,,,(ID) 356 - Духи,1450,1450,1450,1450,1450,
зип худи,564 530,,,,(ID) 1724 - Худи,383,383,383,383,383,
спортивный костюм,564 292,,,,(ID) 4853 - Спортивный Костюм,650,650,650,650,650,
чайник электрический,562 766,,,,(ID) 616 - Чайник Электрический,702,702,702,702,702,
комбинезон женский,558 993,,,,(ID) 157 - Комбинезон,596,596,596,596,596,
o'stin,558 289
куртка мужская весна,556 972,,,,(ID) 168 - Куртка,2402,2402,2402,2402,2402,
маска для волос,555 383,,,,(ID) 360 - Маска косметическая,0,0,0,0,0,
духи женские,553 906,,,,(ID) 356 - Духи,1500,1500,1500,1500,1500,
куртка весенняя женская,552 518,,,,(ID) 168 - Куртка,2271,2271,2271,2271,2271,
блузка,550 073,,,,(ID) 41 - Блузка,800,800,800,800,800,
крем для рук,549 568,,,,(ID) 357 - Крем,763,763,763,763,763,
хайлайтер,548 306,,,,(ID) 1250 - Хайлайтер,183,183,183,183,183,
кепка мужская,547 085,,,,(ID) 84 - Бейсболка,584,584,584,584,584,
обои,545 768,,,,(ID) 2261 - Фотообои,215,215,215,215,215,
кольца,542 760,,,,(ID) 54 - Ювелирное кольцо,1909,1909,1909,1909,1909,
iphone,541 364
свитер,541 012,,,,(ID) 163 - Свитер,782,782,782,782,782,
аппарат для маникюра,540 861,,,,(ID) 3313 - Аппарат Для Маникюра,1405,1405,1405,1405,1405,
дезодорант женский,540 382,,,,(ID) 385 - Дезодорант,414,414,414,414,414,
new balance,538 284
постельное белье евро,537 264,,,,(ID) 197 - Постельное белье,697,697,697,697,697,
карго,535 649,,,,(ID) 11 - Брюки,1520,1520,1520,1520,1520,
рубашка мужская,529 007,,,,(ID) 184 - Рубашка Мужская,981,981,981,981,981,
увлажнитель воздуха,525 960,,,,(ID) 639 - Увлажнитель Воздуха,816,816,816,816,816,
тюль,525 508,,,,(ID) 1620 - Тюль,1401,1401,1401,1401,1401,
stradivarius,525 158
плед,524 770,,,,(ID) 321 - Плед,721,721,721,721,721,
жилет женский,523 856,,,,(ID) 156 - Жилет,655,655,655,655,655,
тушь,517 303,,,,(ID) 347 - Тушь,1690,1690,1690,1690,1690,
худи мужское,517 061,,,,(ID) 1724 - Худи,701,701,701,701,701,
кондиционер для белья,513 637,,,,(ID) 1079 - Кондиционер Для Белья,918,918,918,918,918,
футболки женские,513 010,,,,(ID) 192 - Футболка,400,400,400,400,400,
шампунь,512 160,,,,(ID) 358 - Шампунь,1600,1600,1600,1600,1600,
рубашка,511 755,,,,(ID) 184 - Рубашка,650,650,650,650,650,
шлепки женские,510 294,,,,(ID) 107 - Шлепки Женские,395,395,395,395,395,
туфли,509 880,,,,(ID) 100 - Туфли,1854,1854,1854,1854,1854,
guess,503 727
колготки женские,503 387,,,,(ID) 213 - Колготки,835,835,835,835,835,
маска для лица,502 603,,,,(ID) 360 - Маска косметическая,700,700,700,700,700,
ваза,500 254,,,,(ID) 223 - Ваза,362,362,362,362,362,
кардиган,500 024,,,,(ID) 191 - Кардиган,1210,1210,1210,1210,1210,
ветровка мужская,498 883,,,,(ID) 168 - Куртка,1220,1220,1220,1220,1220,
сумки женские,498 609,,,,(ID) 50 - Сумка,800,800,800,800,800,
лосины женские,498 556,,,,(ID) 148 - Леггинсы,1038,1038,1038,1038,1038,
